ID;Name;Tag;total_pop;aristocrats_pc;aristocrats_bd;capitalists_pc;capitalists_bd;bureaucrats_pc;bureaucrats_bd;officers_pc;officers_bd;soldiers_pc;soldiers_bd;clergymen_pc;clergymen_bd;artisans_pc;artisans_bd;clerks_pc;clerks_bd;craftsmen_pc;craftsmen_bd;slaves_pc;slaves_bd;farmers_labourers_pc;farmers_labourers_bd;comment
12;Litany of Fury V;GOD;1300;1.28;100 paranid;;;0.67;100 paranid;0.118;100 paranid;1.17;100 paranid;1.33;100 paranid;8.82;100 paranid;;;;;2.82;61 paranid 39 argon;rest;100 paranid;
13;Litany of Fury VI;GOD;1400;1.91;100 paranid;;;0.74;100 paranid;0.11;100 paranid;2.0;100 paranid;1.3;100 paranid;8.55;100 paranid;;;;;2.23;73 paranid 27 split;rest;100 paranid;
14;Litany of Fury VII;GOD;2200;1.27;100 paranid;;;0.61;100 paranid;0.078;100 paranid;1.75;100 paranid;1.35;100 paranid;10.11;100 paranid;;;;;2.08;70 paranid 30 argon;rest;100 paranid;
15;Litany of Fury VIII;GOD;1150;3.43;100 paranid;;;0.63;100 paranid;0.088;100 paranid;1.26;100 paranid;1.23;100 paranid;8.37;100 paranid;;;;;4.08;73 paranid 27 teladi;rest;100 paranid;
16;Wretched Skies I;GOD;3250;3.08;100 paranid;;;0.81;100 paranid;0.124;100 paranid;1.74;100 paranid;1.15;100 paranid;10.22;100 paranid;;;;;1.07;62 paranid 38 split;rest;100 paranid;
17;Wretched Skies II;ZYA;4400;1.13;100 split;;;0.38;100 split;0.144;100 split;1.75;100 split;0.9;100 split;7.6;100 split;;;;;1.9;67 split 33 argon;rest;100 split;
18;Wretched Skies III;ZYA;3500;3.95;100 split;;;0.4;100 split;0.196;100 split;2.04;100 split;1.31;100 split;7.64;100 split;;;;;2.39;68 split 32 teladi;rest;100 split;
19;Wretched Skies IV;ZYA;3750;3.89;100 split;;;0.45;100 split;0.197;100 split;2.16;100 split;0.92;100 split;7.65;100 split;;;;;4.35;69 split 31 teladi;rest;100 split;
20;Wretched Skies V;ZYA;3950;2.96;100 split;;;0.37;100 split;0.184;100 split;1.84;100 split;1.26;100 split;7.76;100 split;;;;;2.42;65 split 35 teladi;rest;100 split;
21;Wretched Skies VI;ZYA;4125;2.85;100 split;;;0.31;100 split;0.109;100 split;1.71;100 split;1.23;100 split;6.67;100 split;;;;;4.84;67 split 33 teladi;rest;100 split;
22;Family Zhin I;ZYA;11500;1.47;100 split;;;0.46;100 split;0.108;100 split;2.26;100 split;0.84;100 split;9.14;100 split;;;;;1.12;52 split 25 teladi 23 argon;rest;100 split;
23;Family Zhin II;ZYA;9500;1.05;100 split;;;0.42;100 split;0.129;100 split;2.47;100 split;1.35;100 split;9.18;100 split;;;;;4.74;53 split 17 boron 30 paranid;rest;100 split;
24;Family Zhin III;ZYA;9550;2.59;100 split;;;0.43;100 split;0.136;100 split;1.98;100 split;0.82;100 split;8.26;100 split;;;;;3.97;64 split 16 boron 20 teladi;rest;100 split;
25;Family Zhin IV;ZYA;10500;1.18;100 split;;;0.42;100 split;0.17;100 split;2.49;100 split;1.41;100 split;7.95;100 split;;;;;4.55;45 split 29 boron 26 argon;rest;100 split;
26;Family Zhin V;ZYA;10000;1.57;100 split;;;0.49;100 split;0.183;100 split;2.97;100 split;1.39;100 split;9.09;100 split;;;;;3.64;61 split 21 argon 18 boron;rest;100 split;
27;Family Zhin VI;ZYA;9750;1.73;100 split;;;0.37;100 split;0.156;100 split;1.58;100 split;0.95;100 split;8.73;100 split;;;;;2.33;57 split 20 boron 23 teladi;rest;100 split;
28;Heretic's End I;;250;0.58;100 split;;;0.18;100 split;0.114;100 split;0.46;100 split;0.61;100 split;4.65;100 split;;;;;3.55;100 split;rest;100 split;
29;Heretic's End II;NKK;12350;0.24;100 khaak;;;0.14;100 khaak;0.107;100 khaak;3.18;100 khaak;0.62;100 khaak;13.17;100 khaak;;;;;4.83;50 khaak 25 paranid 25 boron;rest;100 khaak;
30;Heretic's End III;;575;1.6;100 split;;;0.16;100 split;0.053;100 split;0.76;100 split;0.31;100 split;5.79;100 split;;;;;4.68;100 split;rest;100 split;
31;Heretic's End IV;;675;2.61;100 split;;;0.17;100 split;0.103;100 split;0.56;100 split;0.58;100 split;6.8;100 split;;;;;4.67;100 split;rest;100 split;
32;Heretic's End V;;325;1.8;100 split;;;0.13;100 split;0.071;100 split;0.58;100 split;0.31;100 split;5.24;100 split;;;;;3.28;100 split;rest;100 split;
33;Matrix 79B I;XEN;3250;0.36;100 xenon;;;0.72;100 xenon;0.027;100 xenon;1.37;100 xenon;1.46;100 xenon;10.88;100 xenon;;;;;2.22;65 paranid 35 argon;rest;100 xenon;
34;Matrix 79B II;XEN;4550;0.3;100 xenon;;;0.79;100 xenon;0.01;100 xenon;2.17;100 xenon;1.34;100 xenon;10.49;100 xenon;;;;;1.1;79 split 21 argon;rest;100 xenon;
35;Matrix 79B III;XEN;3725;0.36;100 xenon;;;0.84;100 xenon;0.036;100 xenon;2.14;100 xenon;1.49;100 xenon;10.55;100 xenon;;;;;1.06;65 split 35 paranid;rest;100 xenon;
36;Family Kritt I;ZYA;3555;2.37;100 split;;;0.42;100 split;0.191;100 split;2.17;100 split;0.84;100 split;6.49;100 split;;;;;3.14;82 split 18 paranid;rest;100 split;
37;Family Kritt II;ZYA;3255;1.83;100 split;;;0.39;100 split;0.107;100 split;2.74;100 split;1.02;100 split;6.74;100 split;;;;;3.18;80 split 20 boron;rest;100 split;
38;Family Kritt III;ZYA;1955;3.99;100 split;;;0.43;100 split;0.158;100 split;1.85;100 split;1.23;100 split;6.39;100 split;;;;;1.21;67 split 33 teladi;rest;100 split;
39;Family Kritt IV;ZYA;2950;3.99;100 split;;;0.34;100 split;0.102;100 split;2.02;100 split;1.23;100 split;6.65;100 split;;;;;1.58;64 split 36 paranid;rest;100 split;
40;Family Kritt V;ZYA;2955;3.52;100 split;;;0.34;100 split;0.135;100 split;2.94;100 split;0.93;100 split;6.76;100 split;;;;;3.04;67 split 33 boron;rest;100 split;
41;Family Kritt VI;ZYA;3100;3.12;100 split;;;0.36;100 split;0.116;100 split;1.84;100 split;1.42;100 split;6.42;100 split;;;;;3.87;61 split 39 argon;rest;100 split;
42;Rhy's Defiance I;XEN;10300;0.23;100 xenon;;;0.86;100 xenon;0.044;100 xenon;1.22;100 xenon;1.42;100 xenon;13.45;100 xenon;;;;;3.04;53 teladi 33 argon 14 paranid;rest;100 xenon;
43;Rhy's Defiance II;XEN;11000;0.19;100 xenon;;;0.74;100 xenon;0.039;100 xenon;1.05;100 xenon;1.15;100 xenon;14.89;100 xenon;;;;;1.38;46 paranid 21 argon 33 teladi;rest;100 xenon;
44;Rhy's Defiance III;XEN;8700;0.22;100 xenon;;;0.72;100 xenon;0.046;100 xenon;2.01;100 xenon;1.07;100 xenon;12.73;100 xenon;;;;;1.79;58 teladi 18 split 24 boron;rest;100 xenon;
45;Rhy's Defiance IV;XEN;6000;0.13;100 xenon;;;0.72;100 xenon;0.019;100 xenon;2.23;100 xenon;1.33;100 xenon;11.6;100 xenon;;;;;1.84;80 paranid 20 argon;rest;100 xenon;
46;Rhy's Defiance V;XEN;6500;0.41;100 xenon;;;0.71;100 xenon;0.039;100 xenon;1.08;100 xenon;1.2;100 xenon;12.74;100 xenon;;;;;1.81;82 argon 18 split;rest;100 xenon;
47;Rhy's Defiance VI;XEN;7600;0.26;100 xenon;;;0.76;100 xenon;0.038;100 xenon;1.72;100 xenon;1.33;100 xenon;13.63;100 xenon;;;;;2.91;47 split 32 boron 21 argon;rest;100 xenon;
48;Matrix 598 I;XEN;9500;0.44;100 xenon;;;0.81;100 xenon;0.03;100 xenon;1.59;100 xenon;1.25;100 xenon;12.03;100 xenon;;;;;3.56;58 paranid 24 teladi 18 argon;rest;100 xenon;
49;Matrix 598 II;XEN;8200;0.25;100 xenon;;;0.86;100 xenon;0.047;100 xenon;1.49;100 xenon;1.2;100 xenon;13.2;100 xenon;;;;;2.42;52 boron 21 split 27 teladi;rest;100 xenon;
50;Matrix 598 III;XEN;11250;0.48;100 xenon;;;0.77;100 xenon;0.035;100 xenon;1.35;100 xenon;1.01;100 xenon;13.9;100 xenon;;;;;3.63;51 teladi 29 argon 20 paranid;rest;100 xenon;
51;Matrix 598 IV;XEN;14500;0.44;100 xenon;;;0.77;100 xenon;0.021;100 xenon;1.58;100 xenon;1.07;100 xenon;14.54;100 xenon;;;;;2.77;49 boron 22 paranid 29 split;rest;100 xenon;
52;Zyarth's Dominion I;ZYA;21500;1;100 split;;;0.36;100 split;0.172;100 split;1.71;100 split;1.12;100 split;9.91;100 split;;;;;1.31;47 split 17 teladi 15 argon 21 boron;rest;100 split;
53;Zyarth's Dominion II;ZYA;15000;1.63;100 split;;;0.36;100 split;0.148;100 split;2.88;100 split;1.31;100 split;9.65;100 split;;;;;2.42;51 split 26 teladi 23 boron;rest;100 split;
54;Zyarth's Dominion III;ZYA;15500;3.73;100 split;;;0.46;100 split;0.121;100 split;1.8;100 split;1.1;100 split;10.02;100 split;;;;;4.01;58 split 22 boron 20 argon;rest;100 split;
55;Zyarth's Dominion IV;ZYA;17250;2.41;100 split;;;0.41;100 split;0.162;100 split;2.3;100 split;1.32;100 split;9.07;100 split;;;;;2.12;60 split 16 teladi 24 argon;rest;100 split;
56;Zyarth's Dominion V;ZYA;16500;3.94;100 split;;;0.35;100 split;0.105;100 split;2.46;100 split;1.18;100 split;8.8;100 split;;;;;1.54;46 split 19 boron 35 teladi;rest;100 split;
57;Zyarth's Dominion VI;ZYA;13205;2.19;100 split;;;0.32;100 split;0.145;100 split;2.49;100 split;1.42;100 split;8.46;100 split;;;;;4.33;58 split 16 paranid 26 teladi;rest;100 split;
58;Zyarth's Dominion VII;ZYA;12250;1.22;100 split;;;0.46;100 split;0.156;100 split;2.21;100 split;1.26;100 split;9.08;100 split;;;;;3.78;61 split 24 argon 15 teladi;rest;100 split;
59;Zyarth's Dominion VIII;ZYA;11500;2.89;100 split;;;0.44;100 split;0.1;100 split;2.28;100 split;1.03;100 split;8.43;100 split;;;;;2.38;49 split 23 paranid 28 argon;rest;100 split;
60;Zyarth's Dominion IX;ZYA;9500;3.34;100 split;;;0.47;100 split;0.165;100 split;2.9;100 split;0.9;100 split;8.53;100 split;;;;;1.89;48 split 33 boron 19 argon;rest;100 split;
61;Family Nhuut I;ZYA;18500;1.81;100 split;;;0.35;100 split;0.109;100 split;1.76;100 split;0.85;100 split;9.7;100 split;;;;;1.43;59 split 25 paranid 16 teladi;rest;100 split;
62;Family Nhuut II;ZYA;13500;1.26;100 split;;;0.41;100 split;0.165;100 split;1.8;100 split;0.83;100 split;9.03;100 split;;;;;3.64;46 split 18 teladi 36 paranid;rest;100 split;
63;Family Nhuut III;ZYA;14000;2;100 split;;;0.48;100 split;0.134;100 split;1.95;100 split;1.4;100 split;9.43;100 split;;;;;2.36;60 split 19 paranid 21 argon;rest;100 split;
64;Family Nhuut IV;ZYA;14250;3.89;100 split;;;0.42;100 split;0.103;100 split;2.61;100 split;1.41;100 split;9.28;100 split;;;;;1.16;51 split 20 teladi 29 paranid;rest;100 split;
65;Family Nhuut V;ZYA;17250;3.27;100 split;;;0.49;100 split;0.2;100 split;2.14;100 split;1.33;100 split;9.59;100 split;;;;;2.24;55 split 17 teladi 28 argon;rest;100 split;
66;Family Nhuut VI;ZYA;16050;1.35;100 split;;;0.33;100 split;0.106;100 split;2.08;100 split;0.88;100 split;9.95;100 split;;;;;4.18;56 split 24 argon 20 boron;rest;100 split;
67;Watchful Gaze I;;1000;1.12;100 split;;;0.2;100 split;0.066;100 split;0.31;50 split 50 boron;0.58;100 split;7.47;50 split 50 boron;;;;;4.83;66 split 34 paranid;rest;50 split 50 boron;
68;Watchful Gaze II;;1050;0.75;100 split;;;0.11;100 split;0.101;100 split;0.34;50 split 50 boron;0.31;100 split;7.05;50 split 50 boron;;;;;1.51;76 split 24 paranid;rest;50 split 50 boron;
69;Watchful Gaze III;;900;0.65;100 split;;;0.14;100 split;0.075;100 split;0.74;50 split 50 boron;0.69;100 split;8.01;50 split 50 boron;;;;;1.96;100 split;rest;50 split 50 boron;
70;Watchful Gaze IV;;850;2.49;100 split;;;0.1;100 split;0.103;100 split;0.42;50 split 50 boron;0.58;100 split;7.06;50 split 50 boron;;;;;2.58;100 split;rest;50 split 50 boron;
71;Barren Shores I;BOR;5000;0.77;100 boron;;;0.46;100 boron;0.053;100 boron;0.96;100 boron;1.32;100 boron;11.38;100 boron;;;;;;;rest;100 boron;
72;Barren Shores II;BOR;3750;1.34;100 boron;;;0.44;100 boron;0.062;100 boron;0.74;100 boron;1.23;100 boron;10.08;100 boron;;;;;;;rest;100 boron;
73;Barren Shores III;BOR;1240;1.17;100 boron;;;0.49;100 boron;0.059;100 boron;0.81;100 boron;1.09;100 boron;8.32;100 boron;;;;;;;rest;100 boron;
74;Barren Shores IV;BOR;1100;0.79;100 boron;;;0.46;100 boron;0.036;100 boron;0.69;100 boron;1.39;100 boron;8.39;100 boron;;;;;;;rest;100 boron;
75;Barren Shores V;BOR;1050;1.6;100 boron;;;0.49;100 boron;0.029;100 boron;1.41;100 boron;1.47;100 boron;7.12;100 boron;;;;;;;rest;100 boron;
76;Great Reef I;BOR;1550;0.7;100 boron;;;0.41;100 boron;0.073;100 boron;1.12;100 boron;0.97;100 boron;8.86;100 boron;;;;;;;rest;100 boron;
77;Great Reef II;BOR;1250;1.47;100 boron;;;0.5;100 boron;0.049;100 boron;0.99;100 boron;1.11;100 boron;7.46;100 boron;;;;;;;rest;100 boron;
78;Great Reef III;BOR;950;0.67;100 boron;;;0.45;100 boron;0.057;100 boron;0.73;100 boron;1.31;100 boron;7.42;100 boron;;;;;;;rest;100 boron;
79;Great Reef IV;BOR;1025;1.13;100 boron;;;0.37;100 boron;0.092;100 boron;1.34;100 boron;1.28;100 boron;7.19;100 boron;;;;;;;rest;100 boron;
80;Great Reef V;BOR;850;0.82;100 boron;;;0.49;100 boron;0.011;100 boron;1.06;100 boron;1.09;100 boron;7.6;100 boron;;;;;;;rest;100 boron;
81;Great Reef VI;BOR;1125;0.9;100 boron;;;0.38;100 boron;0.035;100 boron;0.63;100 boron;1.12;100 boron;8.64;100 boron;;;;;;;rest;100 boron;
82;Sanctuary of Darkness I;;750;2.93;100 boron;;;0.12;100 boron;0.106;100 boron;0.39;100 boron;0.73;100 boron;7.0;100 boron;;;;;4.17;100 boron;rest;100 boron;
83;Sanctuary of Darkness II;WKK;12500;0.34;100 khaak;;;0.11;100 khaak;0.055;100 khaak;4.9;100 khaak;0.39;100 khaak;13.49;100 khaak;;;;;2.73;68 khaak 14 boron 18 split;rest;100 khaak;
84;Sanctuary of Darkness III;;950;1.26;100 boron;;;0.15;100 boron;0.125;100 boron;0.49;100 boron;0.36;100 boron;7.89;100 boron;;;;;1.77;100 boron;rest;100 boron;
85;Kingdom End I;BOR;85500;1.83;100 boron;;;0.34;100 boron;0.046;100 boron;0.91;100 boron;1.28;100 boron;19.76;100 boron;;;;;;;rest;100 boron;
86;Kingdom End II;BOR;23500;0.82;100 boron;;;0.49;100 boron;0.038;100 boron;0.6;100 boron;0.99;100 boron;14.09;100 boron;;;;;;;rest;100 boron;
87;Kingdom End III;BOR;11500;1.09;100 boron;;;0.49;100 boron;0.027;100 boron;1.37;100 boron;1.43;100 boron;13.63;100 boron;;;;;;;rest;100 boron;
88;Kingdom End IV;BOR;15450;1.78;100 boron;;;0.34;100 boron;0.097;100 boron;0.75;100 boron;1.03;100 boron;15.06;100 boron;;;;;;;rest;100 boron;
89;Kingdom End V;BOR;18500;1.46;100 boron;;;0.32;100 boron;0.014;100 boron;1.06;100 boron;1.45;100 boron;16.07;100 boron;;;;;;;rest;100 boron;
90;Kingdom End VI;BOR;17500;0.65;100 boron;;;0.41;100 boron;0.084;100 boron;1.22;100 boron;1.07;100 boron;13.71;100 boron;;;;;;;rest;100 boron;
91;Kingdom End VII;BOR;19500;1.98;100 boron;;;0.33;100 boron;0.073;100 boron;1.04;100 boron;1.42;100 boron;16.12;100 boron;;;;;;;rest;100 boron;
92;Kingdom End VIII;BOR;20200;0.82;100 boron;;;0.41;100 boron;0.091;100 boron;0.88;100 boron;1.33;100 boron;14.25;100 boron;;;;;;;rest;100 boron;
93;Kingdom End IX;BOR;22500;0.89;100 boron;;;0.46;100 boron;0.073;100 boron;0.76;100 boron;1.31;100 boron;15.65;100 boron;;;;;;;rest;100 boron;
94;Kingdom End X;BOR;18500;1.66;100 boron;;;0.35;100 boron;0.041;100 boron;1.19;100 boron;0.95;100 boron;15.84;100 boron;;;;;;;rest;100 boron;
95;Rolk's Demise I;BOR;1250;0.99;100 boron;;;0.38;100 boron;0.059;100 boron;0.76;100 boron;0.91;100 boron;8.73;100 boron;;;;;;;rest;100 boron;
96;Rolk's Demise II;BOR;1150;0.94;100 boron;;;0.48;100 boron;0.093;100 boron;1.12;100 boron;0.82;100 boron;7.72;100 boron;;;;;;;rest;100 boron;
97;Rolk's Demise III;BOR;1050;0.61;100 boron;;;0.39;100 boron;0.014;100 boron;1.46;100 boron;0.93;100 boron;8.11;100 boron;;;;;;;rest;100 boron;
98;Rolk's Demise IV;BOR;1275;0.64;100 boron;;;0.37;100 boron;0.086;100 boron;1.42;100 boron;1.27;100 boron;8.04;100 boron;;;;;;;rest;100 boron;
99;Rolk's Demise V;BOR;1375;1.37;100 boron;;;0.48;100 boron;0.071;100 boron;1.17;100 boron;0.85;100 boron;7.99;100 boron;;;;;;;rest;100 boron;
100;Rolk's Demise VI;BOR;1475;0.86;100 boron;;;0.46;100 boron;0.028;100 boron;1.1;100 boron;0.97;100 boron;9.41;100 boron;;;;;;;rest;100 boron;
101;Atreus' Clouds I;BOR;75500;1.4;100 boron;;;0.48;100 boron;0.097;100 boron;0.66;80 boron 10 argon 9 teladi 1 split;1.2;100 boron;16.64;80 boron 10 argon 9 teladi 1 split;;;;;;;rest;80 boron 10 argon 9 teladi 1 split;
102;Atreus' Clouds II;BOR;49500;1.06;100 boron;;;0.44;100 boron;0.037;100 boron;1.31;80 boron 10 argon 9 teladi 1 paranid;0.91;100 boron;18.91;80 boron 10 argon 9 teladi 1 paranid;;;;;;;rest;80 boron 10 argon 9 teladi 1 paranid;
103;Atreus' Clouds III;BOR;48750;1.18;100 boron;;;0.38;100 boron;0.01;100 boron;1.41;80 boron 5 argon 5 teladi 5 split 5 paranid;1.03;100 boron;15.62;80 boron 5 argon 5 teladi 5 split 5 paranid;;;;;;;rest;80 boron 5 argon 5 teladi 5 split 5 paranid;
104;Atreus' Clouds IV;BOR;56500;1.94;100 boron;;;0.44;100 boron;0.034;100 boron;0.85;80 boron 5 argon 10 teladi 5 split;0.96;100 boron;18.77;80 boron 5 argon 10 teladi 5 split;;;;;;;rest;80 boron 5 argon 10 teladi 5 split;
105;Atreus' Clouds V;BOR;45650;1.23;100 boron;;;0.47;100 boron;0.056;100 boron;0.56;85 boron 5 argon 5 teladi 5 split;1.27;100 boron;16.23;85 boron 5 argon 5 teladi 5 split;;;;;;;rest;85 boron 5 argon 5 teladi 5 split;
106;Atreus' Clouds VI;BOR;52250;1.36;100 boron;;;0.43;100 boron;0.013;100 boron;1.03;85 boron 5 argon 5 teladi 5 paranid;0.88;100 boron;16.81;85 boron 5 argon 5 teladi 5 paranid;;;;;;;rest;85 boron 5 argon 5 teladi 5 paranid;
107;Menelaus' Oasis I;BOR;45500;1.8;100 boron;;;0.35;100 boron;0.063;100 boron;0.93;100 boron;1.5;100 boron;15.35;100 boron;;;;;;;rest;100 boron;
108;Menelaus' Oasis II;BOR;39650;0.77;100 boron;;;0.36;100 boron;0.05;100 boron;1.35;100 boron;1.22;100 boron;16.96;100 boron;;;;;;;rest;100 boron;
109;Menelaus' Oasis III;BOR;40400;0.73;100 boron;;;0.38;100 boron;0.04;100 boron;1.25;100 boron;1.3;100 boron;17.62;100 boron;;;;;;;rest;100 boron;
110;Menelaus' Oasis IV;BOR;43400;1.86;100 boron;;;0.45;100 boron;0.078;100 boron;0.93;100 boron;1.19;100 boron;18.04;100 boron;;;;;;;rest;100 boron;
111;Menelaus' Oasis V;BOR;47550;1.73;100 boron;;;0.41;100 boron;0.066;100 boron;1.03;100 boron;1.15;100 boron;16.21;100 boron;;;;;;;rest;100 boron;
112;Menelaus' Oasis VI;BOR;41550;0.87;100 boron;;;0.41;100 boron;0.097;100 boron;0.98;100 boron;1.48;100 boron;15.99;100 boron;;;;;;;rest;100 boron;
113;Adventure's Promise I;;950;0.97;100 boron;;;0.18;100 boron;0.137;100 boron;0.75;50 boron 25 paranid 25 argon;0.7;100 boron;6.83;50 boron 25 paranid 25 argon;;;;;4.39;100 boron;rest;50 boron 25 paranid 25 argon;
114;Adventure's Promise II;;975;2.35;100 boron;;;0.11;100 boron;0.136;100 boron;0.73;35 boron 25 paranid 25 argon 15 terran;0.66;100 boron;7.05;35 boron 25 paranid 25 argon 15 terran;;;;;3.08;100 boron;rest;35 boron 25 paranid 25 argon 15 terran;
115;Adventure's Promise III;;875;2.85;100 boron;;;0.16;100 boron;0.143;100 boron;0.74;45 boron 25 paranid 25 argon 5 terran;0.26;100 boron;7.51;45 boron 25 paranid 25 argon 5 terran;;;;;4.68;100 boron;rest;45 boron 25 paranid 25 argon 5 terran;
116;Ocean of Fantasy I;BOR;6500;0.79;100 boron;;;0.37;100 boron;0.086;100 boron;0.72;100 boron;1.21;100 boron;11.5;100 boron;;;;;;;rest;100 boron;
117;Ocean of Fantasy II;BOR;6250;1.93;100 boron;;;0.41;100 boron;0.054;100 boron;1.3;100 boron;1.46;100 boron;11.32;100 boron;;;;;;;rest;100 boron;
118;Ocean of Fantasy III;BOR;5950;1.82;100 boron;;;0.47;100 boron;0.016;100 boron;0.55;100 boron;1.25;100 boron;11.1;100 boron;;;;;;;rest;100 boron;
119;Ocean of Fantasy IV;BOR;6000;1.41;100 boron;;;0.35;100 boron;0.05;100 boron;0.76;100 boron;1.16;100 boron;11.03;100 boron;;;;;;;rest;100 boron;
120;Getsu Fune I;;250;1.55;100 argon;;;0.2;100 argon;0.112;100 argon;0.67;5 boron 15 paranid 20 teladi 60 argon;0.57;100 argon;3.97;5 boron 15 paranid 20 teladi 60 argon;;;;;3.92;100 argon;rest;5 boron 15 paranid 20 teladi 60 argon;
121;Getsu Fune II;;300;0.76;100 argon;;;0.11;100 argon;0.147;100 argon;0.27;20 boron 20 teladi 20 paranid 40 argon;0.34;100 argon;4.87;20 boron 20 teladi 20 paranid 40 argon;;;;;2.67;100 argon;rest;20 boron 20 teladi 20 paranid 40 argon;
122;Getsu Fune III;;325;0.6;100 argon;;;0.16;100 argon;0.115;100 argon;0.7;15 boron 15 paranid 40 argon 30 terran;0.61;100 argon;5.0;15 boron 15 paranid 40 argon 30 terran;;;;;3.39;100 argon;rest;15 boron 15 paranid 40 argon 30 terran;
123;Getsu Fune IV;;275;2.91;100 argon;;;0.15;100 argon;0.107;100 argon;0.49;15 boron 15 teladi 30 argon 10 split 30 paranid;0.64;100 argon;4.54;15 boron 15 teladi 30 argon 10 split 30 paranid;;;;;2.36;100 argon;rest;15 boron 15 teladi 30 argon 10 split 30 paranid;
124;Getsu Fune V;;245;1.1;100 boron;;;0.12;100 boron;0.059;100 boron;0.5;35 boron 35 argon 30 paranid;0.29;100 boron;4.04;35 boron 35 argon 30 paranid;;;;;3.19;100 boron;rest;35 boron 35 argon 30 paranid;
125;Getsu Fune VI;;315;2.26;100 argon;;;0.16;100 argon;0.115;100 argon;0.31;30 boron 50 argon 20 teladi;0.5;100 argon;5.06;30 boron 50 argon 20 teladi;;;;;3.02;100 argon;rest;30 boron 50 argon 20 teladi;
126;Savage Spur I;YAK;3200;1.14;100 argon;;;0.15;100 argon;0.054;100 argon;3.76;100 argon;0.55;100 argon;6.49;100 argon;;;;;4.29;67 argon 33 paranid;rest;100 argon;
127;Savage Spur II;XEN;3500;0.43;100 xenon;;;0.79;100 xenon;0.016;100 xenon;1.87;100 xenon;1.18;100 xenon;11.19;100 xenon;;;;;3.46;71 paranid 29 split;rest;100 xenon;
128;Savage Spur III;YAK;1850;1.99;100 argon;;;0.17;100 argon;0.054;100 argon;3.1;100 argon;0.59;100 argon;6.13;100 argon;;;;;1.07;70 argon 30 split;rest;100 argon;
129;Savage Spur IV;YAK;1500;1.23;100 argon;;;0.1;100 argon;0.123;100 argon;4.67;100 argon;0.71;100 argon;5.89;100 argon;;;;;1.84;67 argon 33 paranid;rest;100 argon;
130;Outer Sol I;TER;100000;0.76;100 terran;;;0.71;100 terran;0.144;100 terran;1.98;100 terran;1.77;100 terran;19.3;100 terran;;;;;;;rest;100 terran;
131;Outer Sol II;TER;120500;1.58;100 terran;;;0.84;100 terran;0.109;100 terran;1.52;100 terran;1.59;100 terran;18.1;100 terran;;;;;;;rest;100 terran;
132;Outer Sol III;TER;110200;0.6;100 terran;;;0.64;100 terran;0.059;100 terran;1.55;100 terran;1.55;100 terran;19.95;100 terran;;;;;;;rest;100 terran;
